id,description
3959,Title: Large Bowl with Beveled Internal Rim. Date: ca. 2800-2675 B.C.E.. Classification: Vessel. Medium: Anorthosite gneiss or diorite.
3960,"Title: Game Board with Separate Drawer. Date: ca. 1539-1295 B.C.E.. Classification: Recreation, Toys, Games. Medium: Wood."
3999,"Title: Part from Shrine for a Divine Image. Date: ca. 664-342 B.C.E.. Classification: Furniture. Medium: Wood, glass."
4000,"Title: Part from Shrine for a Divine Image. Date: ca. 664-342 B.C.E.. Classification: Sculpture. Medium: Wood, glass."
4008,Title: Handle of Model Ax Inscribed for Amunhotep III. Date: ca. 1390–1352 B.C.E.. Classification: Tool. Medium: Lapis lazuli.
4011,Title: Fish Hook. Date: ca. 1539-1292 B.C.E.. Classification: Tool. Medium: Bronze.
4013,Title: Hoop. Date: ca. 1479-1400 B.C.E.. Classification: Jewelry. Medium: Jasper.
4015,Title: Ritual Vase. Date: ca. 1938-1700 B.C.E.. Classification: Vessel. Medium: Clay.
4052,Title: Dish in Form of Seashell. Date: ca. 1390-1292 B.C.E.. Classification: Cosmetic. Medium: Glass.
4061,"Title: Cosmetic Container in Form of Trussed Duck. Date: ca. 1539-1292 B.C.E.. Classification: Container. Medium: Wood, paste."
4075,Title: Kohl Pot. Date: ca. 1938-1700 B.C.E.. Classification: Vessel. Medium: Basalt (probably).
4076,"Title: Kohl Pot. Date: ca. 1938-1700 B.C.E.. Classification: Vessel. Medium: Egyptian alabaster, galena."
4134,Title: Wadjet-eye Amulet Inscribed for Amunhotep III. Date: ca. 1390-1353 B.C.E.. Classification: Accessory. Medium: Faience.
4137,Title: Stela of Steward Ptahemsai. Date: ca. 1876-1759 B.C.E.. Classification: Sculpture. Medium: Limestone.
4138,"Title: Stela of Amenemhat. Date: ca. 1938-1875 B.C.E.. Classification: Sculpture. Medium: Limestone, pigment."
4147,Title: Four Model Vessels on Common Base. Date: ca. 1539-1075 B.C.E.. Classification: Vessel. Medium: Limestone.
4151,Title: Heart Amulet. Date: ca. 1539-1075 B.C.E.. Classification: Accessory. Medium: Glass.
4153,Title: Hoop. Date: ca. 1539-1190 B.C.E.. Classification: Jewelry. Medium: Egyptian alabaster.
4177,Title: Inscribed Object from Foundation Deposit of Amunemhat II. Date: ca. 1876-1842 B.C.E.. Classification: Document. Medium: Steatite.
4183,Title: Staff of Amunmose. Date: ca. 1336-1295 B.C.E.. Classification: Accessory. Medium: Wood.
4198,"Title: Coffin Fragment Showing Mourning Isis. Date: ca. 664-332 B.C.E.. Classification: Funerary Object. Medium: Wood, pigment."
4206,Title: Kohl Pot. Date: ca. 1938-1700 B.C.E.. Classification: Cosmetic. Medium: Anhydrite.
4210,Title: Storage Vessel with Simple Incised Decoration. Date: ca. 1539-1425 B.C.E.. Classification: Vessel. Medium: Clay.
4213,"Title: Storage Jar. Date: ca. 1539-1493 B.C.E.. Classification: Vessel. Medium: Clay, pigment."
4218,"Title: Squat Jar. Date: ca. 1479-1400 B.C.E.. Classification: Vessel. Medium: Clay, pigment."
4219,"Title: Pitcher Imitating Cypriot and Western Asiatic Jug. Date: ca. 1470-1400 B.C.E.. Classification: Vessel. Medium: Clay, pigment."
4246,"Title: Heart Scarab with Scene of the Goddess Ma`at and a Phoenix. Date: ca. 893-868 B.C.E.. Classification: Document. Medium: Egyptian blue (frit), traces of gold."
4253,Title: Woman with Barrel-Shaped Drum. Date: ca. 712-305 B.C.E.. Classification: Sculpture. Medium: Bronze.
4254,"Title: Head from a Tomb Statue of a Man. Date: ca. 2500-2350 B.C.E.. Classification: Sculpture. Medium: Limestone, pigment."
4260,Title: Oryx Dish. Date: ca. 1539-1292 B.C.E.. Classification: Accessory. Medium: Faience.
4268,Title: A God's Wife of Amun. Date: ca. 760-656 B.C.E.. Classification: Sculpture. Medium: Bronze.
4335,Title: Drum. Date: 7th century B.C.E.. Classification: Musical Instrument. Medium: Bronze.
4340,Title: Fragmentary Relief of a King. Date: ca. 664-525 B.C.E.. Classification: Sculpture. Medium: Basalt.
4792,Title: Flowers (Fleurs). Date: 1906. Artist: Henri Matisse. Classification: Painting. Medium: Oil on canvas.
10274,"Title: Cup and Cup Stand. Date: last half 12th century. Classification: Ceramic. Medium: Porcelaneous stoneware with celadon glaze, inlaid glaze decoration."
13180,"Title: The Fallen Angels, or The Rebel Angels. Date: 1893 (marble); 1883 (base). Artist: Salvatore Albano. Classification: Sculpture. Medium: Marble, dark stone, bronze."
13207,Title: Resurrection of Christ. Date: ca. 1520-1525. Artist: Giovanni della Robbia. Classification: Sculpture. Medium: Glazed terracotta.
16960,"Title: Carved Pilaster from Our Lady of Guadalupe. Date: 1701-1800. Maker: Bernardo Miera y Pacheco. Classification: Architectural Element. Medium: Wood, gesso, pigments."
25429,Title: Wreath. Date: 3rd century-2nd century B.C.E.. Culture: Greek. Classification: Accessory. Medium: Gold.
36867,Title: Embossed Disk. Date: ca. 700-1100. Culture: Coclé. Classification: Ornament. Medium: Gold.
38528,Title: Bowl. Date: ca. 1295-1185 B.C.E.. Classification: Vessel. Medium: Faience.
43855,Title: Pendant. Date: 1000-1500. Culture: Chiriquí. Classification: Ornament. Medium: Gold.
50979,Title: Colonel Robert J. Milligan House Parlor. Date: 1854-1856. Classification: Period House or Room. Medium: None.
55688,"Title: Circular Shallow Bowl. Date: ca. 1943. Artist: Maria Martinez. Classification: Vessel. Medium: Clay, slip."
61441,Title: Harbor Scene. Date: ca. 1336-1295 B.C.E.. Classification: Sculpture. Medium: Limestone.
62736,Title: Cup from a Relief-Decorated Chalice. Date: ca. 1070 B.C.E.-718 B.C.E.. Classification: Vessel. Medium: Faience.
66622,Title: Relief Blocks from the Tomb of the Vizier Nespeqashuty. Date: ca. 664-610 B.C.E.. Classification: Sculpture. Medium: Limestone.
66623,Title: Relief Blocks from the Tomb of the Vizier Nespeqashuty. Date: ca. 664-610 B.C.E.. Classification: Sculpture. Medium: Limestone.
69291,"Title: Scene of Animal Husbandry. Date: ca. 670-650 B.C.E.. Culture: Egyptian. Classification: Sculpture. Medium: Limestone, pigment."
78831,"Title: Charm Necklace. Date: mid-20th century. Culture: Tukano. Classification: Ornament. Medium: Palm nut, seeds, plant fiber."
82560,Title: Bird Stone. Date: 1500-500 B.C.E.. Classification: Sculpture. Medium: Mottled greenstone.
93065,Title: Bell-Shaped Ritual Object (Dotaku). Date: 100-300 C.E.. Classification: Ceremonial. Medium: Bronze.
103573,"Title: Scenes from the Tale of Genji. Date: early 17th century. Classification: Screen. Medium: Pair of six-fold screens, ink and colors on gold leaf."
104691,Title: Mukozuke (Sweetmeat dish). Date: 18th century. Artist: Ogata Kenzan. Classification: Ceramic. Medium: Stoneware with enamel background and paper-resist blossoms with enamel centers.
111938,"Title: Shigaraki Ware Mizusashi (Tea Ceremony Fresh Water Jar). Date: ca. 1620. Classification: Vessel. Medium: Buff stoneware with ash glaze, lacquer lid; Shigaraki ware."
114047,Title: Vasudhara. Date: 16th century. Classification: Sculpture. Medium: Polychromed wood.
116125,"Title: Ascetic Shakyamuni. Date: 17th - 18th century. Classification: Sculpture. Medium: Wood with pigmented lacquer, inlaid crystal, metal."
117459,Title: Scarab with Incised Cross. Date: ca. 1479-1292 B.C.E.. Classification: Document. Medium: Glass.
122622,Title: Cylindrical Vessel or Stand for Offering Table. Date: ca. 2675-2170 B.C.E.. Classification: Vessel. Medium: Egyptian alabaster (calcite).
126588,Title: Mace Head in the Form of a Hippopotamus Head. Date: ca. 3200 B.C.E.-2900 B.C.E.. Classification: Sculpture. Medium: Dolomitic limestone.
126590,Title: Figure of a Frog. Date: ca. 3000-2675 B.C.E.. Classification: Sculpture. Medium: Faience.
126592,Title: Figure of a Frog. Date: ca. 3000-2675 B.C.E.. Classification: Sculpture. Medium: Terracotta.
126857,"Title: Women at a Banquet. Date: ca. 1400-1353 B.C.E.. Classification: Painting. Medium: Limestone, gesso, pigment."
154393,Title: Goblet. Date: 1845. Maker: Zalmon Bostwick. Classification: Ceremonial. Medium: Silver.
169803,Title: Napoleon Leading the Army over the Alps. Date: 2005. Artist: Kehinde Wiley. Classification: Painting. Medium: Oil on canvas.
183863,"Title: Container with Lid. Date: ca. 1910. Designer: Josef Hoffmann. Classification: Container. Medium: iron alloy, nickel silver, brass, enamel, glass."
184064,"Title: Fallen Bierstadt. Date: 2007. Artist: Valerie Hegarty. Classification: Sculpture. Medium: Foamcore, paint, paper, glue, gel medium, canvas, wire, wood."
217342,Title: Mai Dang Lao (McDonald's). Date: 2002. Artist: Zhang Hongtu. Classification: Sculpture. Medium: Cast Bronze.
224180,Title: Tsubo Vessel. Date: 1998-1999. Artist: Yanagihara Mutsuo. Classification: Vessel. Medium: Ceramic with metallic (ginsai) glazes.
19,Title: Elk. Date: 1899. Artist: Alexander Phimister Proctor. Classification: Sculpture. Medium: Bronze.
42,Title: The Sheepfold. Date: late 1870s. Artist: Albert Pinkham Ryder. Classification: Painting. Medium: Oil on canvas.
363,Title: Right to the Jaw. Date: 1926. Artist: Mahonri M. Young. Classification: Sculpture. Medium: Bronze.
688,Title: Keith's Union Square. Date: ca. 1902-1906. Artist: Everett Shinn. Classification: Painting. Medium: Oil on canvas.
763,Title: Cross. Date: early 19th century (probably). Artist: Unknown. Medium: Wood; pigment.
1436,Title: Mrs. Geromus Johnson. Date: 1832. Artist: William Sidney Mount. Classification: Painting. Medium: Oil on canvas.
1871,Title: Portrait Bust of Israel Chatinover. Date: 1931. Artist: Jo Davidson. Classification: Sculpture. Medium: Plaster.
2033,"Title: Vase,Ruba Rombic. Date: ca. 1928. Designer: Reuben Haley. Classification: Vessel. Medium: Non-lead glass."
2267,"Title: Chair. Date: ca. 1869. Maker: George Jacob Hunzinger. Classification: Furniture. Medium: Ebonized wood, original upholstery."
2315,Title: Joe's Farewell. Date: Designed 1872-1873. Artist: Daniel Chester French. Classification: Sculpture. Medium: Unglazed porcelain.
3007,"Title: Chihil Kilid (Forty Keys) Divination Bowl with Inscriptions, Zodiac Signs, and Four Plaquettes. Date: 1679. Classification: Vessel. Medium: Copper alloy (brass), engraved with repoussé center and inlaid with black composites."
3082,"Title: Cartonnage Funerary Assembly. Date: 305-30 B.C.E.. Classification: Funerary Object. Medium: Cartonnage, pigment, gold leaf."
3141,Title: Royal Bust. Date: 4th century B.C.E.. Classification: Sculpture. Medium: Limestone.
3161,"Title: Painting of a Standing King. Date: ca. 1539-1070 B.C.E.. Classification: Painting. Medium: Mud, plaster, pigment."
3188,"Title: Fragment of Bowl with Lotus, Antelope, and Fish. Date: ca. 1539-1390 B.C.E.. Classification: Vessel. Medium: Faience."
3251,Title: Amulet in the Form of a Heart. Date: ca. 664-30 B.C.E.. Classification: Accessory. Medium: Sheet gold.
3263,Title: Tazza. Date: ca. 1479-1390 B.C.E.. Classification: Vessel. Medium: Egyptian alabaster (calcite).
3272,"Title: Beaded Necklace. Date: ca. 3500-3300 B.C.E.. Classification: Jewelry. Medium: Steatite, carnelian, diorite, porphyry, hematite, banded alabaster, agate, soapstone
."
3277,"Title: Jar with Zigzag Panels. Date: ca. 3500-3300 B.C.E.. Classification: Vessel. Medium: Clay, pigment."
3284,"Title: Gourd-shaped Jar. Date: ca. 1470-1400 B.C.E.. Classification: Vessel. Medium: Clay, pigment."
3323,Title: Molded Hemispherical Bowl. Date: 2nd-1st century B.C.E.. Classification: Vessel. Medium: Faience.
3358,Title: Hippopotamus Tusk with Carved Head. Date: ca. 3800-3400 B.C.E.. Classification: Sculpture. Medium: Hippopotamus ivory.
3359,Title: Comb with Human Image. Date: ca. 3500-3400 B.C.E.. Classification: Accessory. Medium: Bone.
3377,Title: Tile with Floral Inlays. Date: ca. 1352-1336 B.C.E.. Classification: Tiles. Medium: Faience.
3441,Title: Relief of Prince Khaemwaset. Date: ca. 1279-1213 B.C.E.. Classification: Sculpture. Medium: Limestone.
3560,"Title: Falcon-Headed Sun-God. Date: ca. 100-30 B.C.E.. Classification: Accessory. Medium: Bronze, gold."
3562,Title: One of the Four Sons of Horus. Date: ca. 664-after 30 B.C.E.. Classification: Accessory. Medium: Faience.
3563,Title: One of the Four Sons of Horus. Date: ca. 664-after 30 B.C.E.. Classification: Accessory. Medium: Faience.
3564,Title: One of the Four Sons of Horus. Date: ca. 664-after 30 B.C.E.. Classification: Accessory. Medium: Faience.
3604,"Title: Views In and Around Kyoto (Rakuchu rakugai zu). Date: ca.1616-1624. Classification: Screen. Medium: Ink, color and gold leaf on paper."
3649,"Title: Erotic Musicians. Date: 305-30 B.C.E.. Classification: Sculpture. Medium: Limestone, pigment."
3681,"Title: Funerary Figurine of Petamenophis. Date: ca. 670-650 B.C.E.. Culture: Egyptian. Classification: Funerary Object. Medium: Steatite, glaze."
3695,Title: Funerary Figurine of Montuemhat. Date: ca. 670-650 B.C.E.. Culture: Egyptian. Classification: Funerary Object. Medium: Steatite.
3737,"Title: Terminal from a Broad Collar. Date: 305-30 B.C.E.. Classification: Jewelry. Medium: Gold, glass."
3743,"Title: Lady Tjepu. Date: ca. 1390-1353 B.C.E.. Classification: Painting. Medium: Limestone, gesso, pigment."
3751,Title: Bowl. Date: ca. 1295-1185 B.C.E.. Classification: Vessel. Medium: Faience.
3771,Title: Crocodile Head and Ibis. Date: 305-30 B.C.E.. Classification: Sculpture. Medium: Silver.
3788,"Title: Temple Relief of a King as a Child Protected by a Goddess. Date: ca. 700-670 B.C.E.. Culture: Egyptian. Classification: Sculpture. Medium: Sandstone, pigment."
3865,Title: Male and Female Offering Bearers. Date: 4th century B.C.E.. Classification: Sculpture. Medium: Limestone.
3867,Title: Standing Padmapani. Date: 12th-13th century. Classification: Sculpture. Medium: Bronze with traces of gold and inlay of semiprecious stones.
3892,Title: Head of a King or Deity. Date: 4th century B.C.E.. Classification: Sculpture. Medium: Plaster.
4018,Title: Bust of Isis. Date: 305-30 B.C.E.. Classification: Sculpture. Medium: Egyptian blue frit.
4141,Title: Stela of Netjer-mose. Date: ca. 1539-1425 B.C.E.. Classification: Sculpture. Medium: Limestone.
4180,"Title: Ostrakon with Demotic Inscription. Date: 305-30 B.C.E.. Classification: Document. Medium: Limestone, pigment."
4229,Title: Palette in the Shape of a Boat. Date: ca. 3700-3600 B.C.E.. Classification: Cosmetic. Medium: Graywacke.
4230,Title: Palette or Amulet in the Shape of a Turtle. Date: ca. 3500-3300 B.C.E.. Classification: Cosmetic. Medium: Graywacke.
4243,Title: Head of a Mature Man. Date: early 2nd century B.C.E.. Classification: Sculpture. Medium: Basalt.
4250,Title: Head of a Queen or Goddess. Date: ca. 230 B.C.E.. Classification: Sculpture. Medium: Limestone.
4296,Title: Woman with Earrings. Date: 100-105 C.E.. Classification: Painting. Medium: Encaustic on wood.
5122,Title: Plaque. Date: 600-900 C.E.. Culture: Maya. Classification: Sculpture. Medium: Jadeite.
5167,"Title: The Dinner Party. Date: 1974-1979. Artist: Judy Chicago. Classification: Sculpture. Medium: Ceramic, porcelain, textile; triangular table."
6068,Title: Prayer Stick. Date: late 19th-early 20th century. Culture: Ainu. Classification: Ceremonial. Medium: Wood.
16208,"Title: Ladle. Date: 900-1300. Culture: Ancient Pueblo. Classification: Vessel. Medium: Clay, slip, carbon pigment."
38015,Title: Jina Mahavira. Date: 11th-12th century (image); 16th century (base and halo). Classification: Sculpture. Medium: Bronze.
49164,Title: Shabty of Taharqa. Date: ca. 690-664 B.C.E.. Culture: Nubian. Classification: Funerary Object. Medium: Ankerite.
56149,Title: Walrus Tusk Ivory engraved with pictures of everyday activities. Date: 19th century. Culture: Inupiaq. Classification: Sculpture. Medium: Walrus Tusk Ivory.
65617,Title: One of the Four Sons of Horus. Date: ca. 664 B.C.E.-after 30 B.C.E.. Classification: Accessory. Medium: Faience.
66621,Title: Relief Blocks from the Tomb of the Vizier Nespeqashuty. Date: ca. 664-610 B.C.E.. Classification: Sculpture. Medium: Limestone.
69292,Title: Fragment of a Temple Relief. Date: ca. 380 B.C.E.-30 B.C.E.. Classification: Sculpture. Medium: Limestone.
83032,"Title: Painted Elk Hide. Date: ca. 1900. Maker: Cotsiogo (Cadzi Cody). Classification: Painting. Medium: Elk hide, pigment."
93235,Title: American Institute Award Medal. Date: 1841 medal designed; 1859 issued. Artist: Robert Lovett. Classification: Medals. Medium: Silver.
117941,"Title: Mummy Tag of Plenis. Date: ca. 200-300 C.E.. Culture: Nubian. Classification: Document. Medium: Wood, ink."
120618,Title: Celestial Sphere. Date: 18th century. Classification: Tool. Medium: Copper alloy.
124899,"Title: Bowl with a Bird. Date: 10th century. Classification: Ceramic. Medium: Ceramic; earthenware, painted in luster on an opaque white glaze."
125954,"Title: Bowl with Kufic Inscription. Date: 9th century. Classification: Ceramic. Medium: Ceramic; earthenware, painted in cobalt blue on an opaque white glaze."
143143,"Title: Pipe in Four Pieces, Part of War Outfit. Date: 1850-1890. Culture: Oglala, Lakota, Sioux. Classification: Arms and Armor. Medium: Wood, catlinite, lead inlay."
155429,Title: Orange and Cream Bowl. Date: ca. 900-1200. Classification: Vessel. Medium: Ceramic.
167035,"Title: Vase. Date: first half of 15th century. Classification: Ceramic. Medium: Buncheong ware, stoneware with inlaid black and white slips."
168024,"Title: Walrus. Date: 1950-1980. Culture: Inuit. Classification: Sculpture. Medium: Soapstone, ivory."
168029,"Title: Kayak with Buoy, Two Figures, and a Seal. Date: 1950-1980. Culture: Inuit. Classification: Sculpture. Medium: Stone, wood, rawhide bands, bone remnants."
168594,"Title: Elephant Bangle. Date: 18th-19th century. Classification: Jewelry. Medium: Gold with enamel, diamonds, rubies."
184348,"Title: Mummy Bandage, Wen-nefer, born of Ta-amun. Date: 332 B.C.E.-1st century C.E.. Classification: Document. Medium: Linen, ink."
185798,Title: Face from an Anthropoid Coffin. Date: 1075-656 B.C.E.. Classification: Sculpture. Medium: Wood.
200283,Title: Web of Life. Date: 1958. Artist: John Biggers. Classification: Painting. Medium: Tempera on wood.
211437,Title: Tea Bowl. Date: 2005. Artist: Koie Ryoji. Classification: Vessel. Medium: Stoneware with glaze; oribe ware.
217135,Title: Ink Rock. Date: 2019. Artist: Zhang Jian-Jun. Classification: Sculpture. Medium: Chinese ink and mixed media.
224792,"Title: OY/YO. Date: 2015. Artist: Deborah Kass. Classification: Sculpture. Medium: Pigment, aluminum."
923,"Title: Crucifix. Date: late 18th-early 19th century. Artist: Unknown. Classification: Sculpture. Medium: Wood, gesso, paint."
1125,"Title: Resting Stag. Date: ca. 1915. Artist: Elie Nadelman. Classification: Sculpture. Medium: Bronze, marble base."
1178,"Title: Lounge Chair, Model 654W. Date: Designed 1941; Manufactured ca. 1946. Designer: Jens Risom. Classification: Furniture. Medium: Birch, cotton webbing."
1200,Title: Pitcher. Date: ca. 1850. Manufacturer: Charles Cartlidge & Co.. Classification: Ceramic. Medium: Porcelain.
1512,"Title: Platter, After Henry Will. Date: 1974 (after original of 1761-1793). Maker: Jay Thomas Stauffer. Classification: Food/Drink. Medium: Pewter."
1561,"Title: Armchair ""Statton"". Date: Designed 1950; Manufactured ca. 1951. Designer: Russel Wright. Classification: Furniture. Medium: Sycamore, upholstery."
1596,Title: Jug. Date: 1818-1830. Maker: Daniel Goodale. Classification: Ceramic. Medium: Stoneware.
1620,Title: Pitcher. Date: Designed 1937; Manufactured: ca. 1938. Designer: Russel Wright. Classification: Ceramic. Medium: Glazed earthenware.
1631,Title: Bowl. Date: ca. 1943-1953. Maker: James Prestini. Classification: Food/Drink. Medium: Birch wood.
1633,"Title: Vase. Date: ca. 1943-1953. Maker: James Prestini. Classification: Vessel. Medium: Birch, copper."
1634,Title: Bowl. Date: ca. 1943-1953. Maker: James Prestini. Classification: Vessel. Medium: Birch.
1648,"Title: Tea Kettle on Stand. Date: ca. 1935. Manufacturer: Manning Bowman and Co.. Classification: Food/Drink. Medium: Chromed metal (possibly brass), wood."
1702,Title: Vase. Date: ca. 1930. Manufacturer: Muncie Clay Products Co.. Classification: Ceramic. Medium: Glazed earthenware.
1708,"Title: Cigarette Lighter, ""Ronson Touch-Tip"". Date: ca. 1935. Designer: Louis V. Aronson. Classification: Recreation, Toys, Games. Medium: Chrome and black-enameled metal."
1709,"Title: Chair. Date: ca. 1940. Designer: Frank Lloyd Wright. Classification: Furniture. Medium: Laminated plywood, vinyl."
1747,Title: Interlocking Occasional Table. Date: 1985. Maker: David Zelman. Classification: Furniture. Medium: Steel.
1748,Title: Interlocking Occasional Table. Date: 1985. Maker: David Zelman. Classification: Furniture. Medium: Steel.
1749,Title: Interlocking Occasional Table. Date: ca. 1985. Maker: David Zelman. Classification: Furniture. Medium: Steel.
1751,"Title: ""Beta"" Chair. Date: 1930. Designer: Nathan George Horwitt. Classification: Furniture. Medium: Tubular steel, wood, upholstery."
1777,"Title: Table, One of Pair. Date: ca. 1937. Designer: Alfons Bach. Classification: Furniture. Medium: Chromed steel, wood."
1780,"Title: ""Blongo"" Side Chair. Date: ca. 1984. Maker: Leo Blackman. Classification: Furniture. Medium: Birch plywood."
1789,"Title: Ice Bucket, Part of Five-piece Set. Date: Patented 1928. Designer: Elsa Tennhardt. Classification: Food/Drink. Medium: Silver-plated brass, brass."
1800,"Title: Desk. Date: ca. 1934. Designer: Gilbert Rohde. Classification: Furniture. Medium: Chromed tubular steel, plastic laminate, wood, paint."
1827,"Title: Ashtray. Date: 1930. Maker: Queens Art Pewter, Ltd.. Classification: Smoking/Drugs. Medium: Pewter."
1830,"Title: Teapot and Lid from Three Piece Tea Service, Kyoto Homage Pattern. Date: Designed 1980; Manufactured 1987. Maker: Dorothy Hafner. Classification: Food/Drink. Medium: Porcelain."
1868,"Title: Radio Nurse. Date: Designed in 1937. ca. 1938. Designer: Isamu Noguchi. Classification: Recreation, Toys, Games. Medium: Bakelite plastic."
1889,"Title: Scrimshaw, Whale's Tooth. Date: ca. 1825-1835. Maker: Unknown. Medium: Ivory (whale tooth), pigment."
1928,Title: Coffee Pot with Lid and Drip Spout. Date: Designed 1987; Manufactured 1989-1990. Designer: Michael Graves. Classification: Food/Drink. Medium: Porcelain.
1933,"Title: Plate, ""Orchid"". Date: 1989. Designer: Robert Mapplethorpe. Classification: Ceramic. Medium: Porcelain."
2036,"Title: Folding Rocking Chair. Date: ca. 1870. Maker: George Jacob Hunzinger. Classification: Furniture. Medium: Walnut, brass, original upholstery."
2103,"Title: Storage Unit. Date: 1948-1954. Designer: Charles Eames. Classification: Furniture. Medium: Birch plywood, masonite, black plastic laminate veneer, chrome-plated steel, white metal, rubber."
2133,"Title: Coffeepot with Lid, ""Museum"" Pattern. Date: ca. 1942-1943. Designer: Eva Zeisel. Classification: Food/Drink. Medium: Porcelain."
2135,"Title: Sugar Bowl with Lid, ""Museum"" Pattern. Date: ca. 1942-1943. Designer: Eva Zeisel. Classification: Food/Drink. Medium: Porcelain."
2183,"Title: Thermos Pitcher with Base and Lid. Date: 1935. Designer: Henry Dreyfuss. Classification: Food/Drink. Medium: Aluminum, steel (?), glass, rubber."
2335,"Title: Folding Chair. Date: ca. 1873. Maker: George Jacob Hunzinger. Classification: Furniture. Medium: Wood, original upholstery."
2415,"Title: Looking Glass. Date: ca.1740-1780. Classification: Furniture. Medium: Mahogany, walnut veneer, spruce, gilt."
2416,"Title: Looking Glass. Date: ca. 1785-1810. Classification: Furniture. Medium: Mahogany, white pine, gilt."
2417,"Title: Looking Glass. Date: ca. 1768-1800. Classification: Furniture. Medium: White pine, gilt, gesso."
2624,Title: Seated Figure. Date: ca. C.E. 550-850. Culture: Maya. Classification: Sculpture. Medium: Shell.
3120,"Title: Canopic Jar of Lady Senebtisi. Date: ca. 1938-1759 B.C.E.. Classification: Vessel. Medium: Limestone, pigment."
3189,Title: Stela with Image of Seth. Date: ca. 664-30 B.C.E.. Classification: Sculpture. Medium: Slate.
3207,Title: Cosmetic Jar. Date: ca. 3600-2675 B.C.E.. Classification: Vessel. Medium: Basalt.
3495,"Title: Ceremonial Sickle of the ""Fieldworker of Amun"" Amunemhat. Date: ca. 1479-1425 B.C.E.. Classification: Accessory. Medium: Wood, pigment."
3500,Title: Hes-Vase with Cover. Date: ca. 1350-1295 B.C.E.. Classification: Vessel. Medium: Faience.
3550,"Title: Pilgrim Bottle. Date: 907-1125. Classification: Ceramic. Medium: Earthenware, green glaze."
3559,"Title: Garment Hook in the Form of a Fish. Date: 206 B.C.E.-221 C.E.. Classification: Accessories. Medium: Bronze inlaid with gold, silver, mineral or glass."
3566,"Title: Cylindrical Amulet. Date: ca. 1938-1759 B.C.E.. Classification: Jewelry. Medium: Gold, amethyst."
3582,Title: Earrings in Form of Pendant Lotus Flowers. Date: ca. 1539-1190 B.C.E.. Classification: Jewelry. Medium: Glass.
3640,Title: Torso of Akhenaten. Date: ca. 1352-1336 B.C.E.. Classification: Sculpture. Medium: Limestone.
3651,Title: Kohl Pot. Date: ca. 1938-1700 B.C.E.. Classification: Vessel. Medium: Anhydrite.
3689,Title: Shabty of Nebwau. Date: ca. 1539-1400 B.C.E.. Classification: Funerary Object. Medium: Limestone.
3809,Title: Gokoshima (Five-Pronged Vajra). Date: 12th-14th century. Classification: Ceremonial. Medium: Gilt bronze.
3872,"Title: Wine Bottle. Date: late 13th-early 14th century. Classification: Vessel. Medium: Ko-Seto ware, stoneware with stamped and incised decoration covered with glaze."
3928,Title: Seated Bodhisattva Maitreya. Date: 557-581. Classification: Sculpture. Medium: Bronze with traces of gilding.
4118,Title: Female Birth-God. Date: ca. 1539-1425 B.C.E.. Classification: Accessory. Medium: Faience.
4247,"Title: Relief of Amun, Ahmose-Nefertari, and King Amunhotep I. Date: ca. 1295-1190 B.C.E.. Classification: Sculpture. Medium: Limestone, pigment."
4274,Title: Weight in the Form of Three Chilong Dragons. Date: 770 B.C.E.-8 C.E.. Classification: Weights/Measures. Medium: Gilt bronze.
4871,Title: Cyrus W. Field Congressional Medal. Date: 1867 designed; 1868 struck. Artist: William Barber. Classification: Medals. Medium: Bronze.
4872,Title: Henry R. Linderman Medal. Date: ca. 1869. Artist: William Barber. Classification: Medals. Medium: Silver-plated metal.
4873,Title: Charles Loring Elliott Medal. Date: ca. 1870. Artist: William Barber. Classification: Medals. Medium: Bronze.
4874,Title: Chicago Fire Medal. Date: 1872. Artist: William Barber. Classification: Medals. Medium: Bronze.
4875,Title: David Rittenhouse Medal. Date: ca. 1871. Artist: William Barber. Classification: Medals. Medium: Bronze.
4876,Title: Medal with Personification of Agriculture. Date: ca. 1870. Artist: William Barber. Classification: Medals. Medium: Bronze.
4878,Title: Pacific Railroad Commemorative Medal. Date: 1869. Artist: William Barber. Classification: Medals. Medium: Bronze.
11667,"Title: Portrait of John Haslett, M.D.. Date: ca. 1822. Artist: Eliab Metcalf. Classification: Portrait, Miniatures. Medium: Watercolor on ivory portrait, printed business card (backing paper), and brass liner and lens."
16117,"Title: Cup. Date: early 17th century. Classification: Vessel. Medium: Mino ware in Oribe style: buff stoneware with iron-brown and white-slip painted designs under a clear glaze, top dipped in green glaze."
18616,"Title: Jug. Date: 13th century. Classification: Ceramic. Medium: Ceramic, fritware."
18618,"Title: Large Cup. Date: 13th century. Classification: Ceramic. Medium: Ceramic, fritware."
21485,"Title: Large Stand (Tobouret). Date: 13th century. Classification: Ceramic. Medium: Ceramic, fritware."
34444,Title: Water Dish. Date: 1736-1795. Classification: Vessel. Medium: Porcelain with tea dust (chaye mo) glaze.
49166,Title: Shabty of Senkamenseken. Date: ca. 633-613 B.C.E.. Culture: Nubian. Classification: Funerary Object. Medium: Faience.
54055,"Title: Vase. Date: 13th century. Classification: Ceramic. Medium: Ceramic, fritware with modern fills."
54980,"Title: Three Bathers on the Beach. Date: 1909. Artist: Ernst Ludwig Kirchner. Classification: Print. Medium: Color lithograph in red, yellow, green, blue and violet on wove paper."
